meanDifHTE,meanDifSE,df,meanDifLabel,corLabel,corObs,corN,corHyp,corHypInv
2.8,1,999999,GC.1,Convergent,0.79,141,0.7,0.5
0.1,3.28,999999,GC.2,Convergent,0.73,141,0.7,0.5
2,8.1,999999,GC.3,Convergent,0.71,141,0.7,0.5
-2.8,1,999999,-GC.1,Divergent,-0.3,141,0.5,0.7
-0.1,3.28,999999,-GC.2,Divergent,-0.28,141,0.5,0.7
-2,8.1,999999,-GC.3,Divergent,0.37,141,0.5,0.7
,,,,Divergent,-0.25,141,0.5,0.7
,,,,Divergent,-0.26,141,0.5,0.7
,,,,Divergent,-0.29,141,0.5,0.7
,,,,Divergent,0.14,141,0.5,0.7
,,,,Divergent,0.42,141,0.5,0.7
,,,,Divergent,0.49,141,0.5,0.7
