"","X1","study","time","male","calm","secure","tense","regretful","at.ease","upset","worrying","rested","anxious","comfortable","confident","nervous","jittery","high.strung","relaxed","content","worried","rattled","joyful","pleasant"
"1",1,"AGES",1,0,3,3,2,1,2,1,1,3,2,2,3,2,2,2,2,3,1,1,3,3
"2",2,"AGES",1,1,3,3,2,2,3,2,1,1,2,3,2,2,1,1,2,3,2,1,1,2
"3",3,"AGES",1,0,3,3,2,1,3,1,2,1,1,3,3,2,2,1,2,3,1,1,3,3
"4",4,"AGES",1,1,3,3,1,1,3,1,1,2,1,3,4,1,2,1,3,4,1,1,2,3
"5",5,"AGES",1,0,4,4,1,1,3,1,1,3,1,2,3,1,2,1,3,4,1,1,3,3
"6",6,"AGES",1,1,4,4,1,1,4,1,1,4,2,4,4,1,1,3,3,4,1,1,4,4
"7",7,"AGES",1,0,3,2,1,1,2,1,2,1,1,2,2,1,1,1,2,2,1,1,2,2
"8",8,"AGES",1,1,4,4,1,1,4,1,1,2,1,4,3,1,1,1,3,3,1,NA,2,2
"9",9,"AGES",1,0,1,3,4,1,1,1,2,3,4,3,3,4,4,4,1,2,2,4,2,2
"10",10,"AGES",1,1,3,3,1,1,2,1,2,2,1,3,3,1,1,1,3,2,1,1,2,3
"11",11,"AGES",1,0,2,2,1,1,2,1,1,1,1,2,2,1,1,1,1,2,1,1,1,2
"12",12,"AGES",1,1,4,4,1,1,3,1,2,2,3,2,3,1,2,2,3,3,1,2,3,3
"13",13,"AGES",1,0,3,3,1,1,3,1,1,3,1,3,2,1,1,1,3,3,1,1,2,3
"14",14,"AGES",1,1,1,1,2,1,1,2,2,2,2,2,3,2,1,1,2,2,2,1,1,1
"15",15,"AGES",1,0,2,4,1,1,3,1,1,3,1,3,4,1,1,1,3,4,1,1,2,3
"16",16,"AGES",1,1,3,2,1,1,3,1,1,2,1,1,1,1,1,1,2,2,1,1,1,1
"17",17,"AGES",1,0,3,3,1,1,3,1,1,1,2,3,3,1,2,1,2,2,1,1,1,2
"18",18,"AGES",1,1,2,1,2,2,2,1,3,2,2,2,2,3,1,3,2,1,3,1,1,1
